CATEGORY, TITLE, LOW, HIGH,URL
WINE,The Pinot Project Pinot Noir,9.87,19.99,https://products1.imgix.drizly.com/ci-the-pinot-project-pinot-noir-b03eba6f23633273.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Barefoot Pinot Grigio,4.99,13.00,https://products0.imgix.drizly.com/ci-barefoot-pinot-grigio-94f993464a0eec70.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Kim Crawford Sauvignon Blanc,6.99,38.99,https://products3.imgix.drizly.com/ci-kim-crawford-sauvignon-blanc-3e0d9d465b786741.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Kendall Jackson Vintner's Reserve Chardonnay,9.75,222.99,https://products2.imgix.drizly.com/ci-kendall-jackson-chardonnay-0708add60936e6e3.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Starborough Sauvignon Blanc,8.99,23.99,https://products1.imgix.drizly.com/ci-starborough-sauvignon-blanc-466187b582cf1601.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,19 Crimes Cabernet Sauvignon,6.99,23.09,https://products3.imgix.drizly.com/ci-19-crimes-cabernet-sauvignon-e8810883bfcb6460.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Meiomi Pinot Noir,14.99,49.99,https://products1.imgix.drizly.com/ci-meiomi-pinot-noir-d0c933fc00870c37.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Josh Cellars Cabernet Sauvignon,9.96,29.99,https://products1.imgix.drizly.com/ci-josh-cellars-cabernet-sauvignon-c375f665c8fd9215.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Dark Horse Cabernet Sauvignon,5.99,18.99,https://products3.imgix.drizly.com/ci-dark-horse-cabernet-sauvignon-666b7be866b1e5b3.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Apothic Red,7.00,18.94,https://products3.imgix.drizly.com/ci-apothic-red-c276fd841429e57f.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bota Box Sauvignon Blanc,0,0,https://products1.imgix.drizly.com/ci-bota-box-sauvignon-blanc-4da0365528d13e51.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,La Marca Prosecco,9.99,29.99,https://products2.imgix.drizly.com/ci-la-marca-prosecco-ae086f160057100c.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Black Box Cabernet Sauvignon,20.99,0,https://products1.imgix.drizly.com/ci-black-box-cabernet-sauvignon-3623d18c18299f83.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Oyster Bay Sauvignon Blanc,8.88,28.99,https://products0.imgix.drizly.com/ci-oyster-bay-sauvignon-blanc-12a27756f240182c.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Matua Sauvignon Blanc,4.59,22.94,https://products2.imgix.drizly.com/ci-matua-sauvignon-blanc-e4e1ad1a92c588bb.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Dark Horse Rosé,5.99,15.99,https://products1.imgix.drizly.com/ci-dark-horse-rose-73b18f36de637342.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bota Box Pinot Grigio,0,0,https://products3.imgix.drizly.com/ci-bota-box-pinot-grigio-c869d98eeec3c918.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Decoy Cabernet Sauvignon,16.99,45.09,https://products1.imgix.drizly.com/ci-decoy-cabernet-sauvignon-df2fe544f6a272ce.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Alamos Malbec,1.49,18.99,https://products2.imgix.drizly.com/ci-alamos-malbec-01f67647cc1ca623.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Apothic Inferno,9.99,24.99,https://products1.imgix.drizly.com/ci-apothic-inferno-762bd3bbc39f5fc1.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
